Logging to ./experiments/advantage_regularized_ppo/
---------------------------------
| rollout/           |          |
|    benefit_0                | 0.41630247    |
|    benefit_1                | 0.78235275    |
|    bias_estimate            | -0.36605027   |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 30.5          |
|    ep_rew_mean_B_0          | 589           |
|    ep_rew_mean_B_1          | 444           |
|    ep_rew_mean_U_0          | 302           |
|    ep_rew_mean_U_1          | 224           |
| time/                       |               |
|    fps                      | 249           |
|    iterations               | 4             |
|    time_elapsed             | 64            |
|    total_timesteps          | 16000         |
| train/                      |               |
|    approx_kl                | 2.3347651e-05 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.693        |
|    explained_variance       | 0.00755       |
|    explained_variance_B_0   | -0.0414       |
|    explained_variance_B_1   | -0.0349       |
|    explained_variance_U_0   | -0.0408       |
|    explained_variance_U_1   | 0.0104        |
|    learning_rate            | 1e-05         |
|    loss                     | 13.6          |
|    n_updates                | 30            |
|    policy_gradient_loss     | -0.000233     |
|    policy_gradient_loss_B_0 | 8.88e-07      |
|    policy_gradient_loss_B_1 | -7e-05        |
|    policy_gradient_loss_U_0 | 0.000229      |
|    policy_gradient_loss_U_1 | 0.000291      |
|    value_loss               | 3.71          |
|    value_loss_B_0           | 18.3          |
|    value_loss_B_1           | 11.2          |
|    value_loss_U_0           | 4.72          |
|    value_loss_U_1           | 2.11          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.7003238     |
|    benefit_1                | 0.7775695     |
|    bias_estimate            | -0.07724565   |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 38.7          |
|    ep_rew_mean_B_0          | 582           |
|    ep_rew_mean_B_1          | 454           |
|    ep_rew_mean_U_0          | 299           |
|    ep_rew_mean_U_1          | 230           |
| time/                       |               |
|    fps                      | 246           |
|    iterations               | 5             |
|    time_elapsed             | 81            |
|    total_timesteps          | 20000         |
| train/                      |               |
|    approx_kl                | 2.5617965e-05 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.693        |
|    explained_variance       | 0.00756       |
|    explained_variance_B_0   | -0.0389       |
|    explained_variance_B_1   | -0.0438       |
|    explained_variance_U_0   | -0.051        |
|    explained_variance_U_1   | 0.00146       |
|    learning_rate            | 1e-05         |
|    loss                     | 11.6          |
|    n_updates                | 40            |
|    policy_gradient_loss     | -0.00026      |
|    policy_gradient_loss_B_0 | -9.78e-06     |
|    policy_gradient_loss_B_1 | -0.000132     |
|    policy_gradient_loss_U_0 | -0.000588     |
|    policy_gradient_loss_U_1 | -0.000448     |
|    value_loss               | 4.46          |
|    value_loss_B_0           | 15.3          |
|    value_loss_B_1           | 9.97          |
|    value_loss_U_0           | 3.89          |
|    value_loss_U_1           | 2.05          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.60182136    |
|    benefit_1                | 0.95437765    |
|    bias_estimate            | -0.3525563    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 31.5          |
|    ep_rew_mean_B_0          | 574           |
|    ep_rew_mean_B_1          | 456           |
|    ep_rew_mean_U_0          | 293           |
|    ep_rew_mean_U_1          | 235           |
| time/                       |               |
|    fps                      | 242           |
|    iterations               | 6             |
|    time_elapsed             | 98            |
|    total_timesteps          | 24000         |
| train/                      |               |
|    approx_kl                | 2.6786212e-05 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.693        |
|    explained_variance       | 0.0121        |
|    explained_variance_B_0   | -0.0493       |
|    explained_variance_B_1   | -0.0603       |
|    explained_variance_U_0   | -0.0572       |
|    explained_variance_U_1   | -0.00543      |
|    learning_rate            | 1e-05         |
|    loss                     | 8.51          |
|    n_updates                | 50            |
|    policy_gradient_loss     | -0.000225     |
|    policy_gradient_loss_B_0 | -2.97e-05     |
|    policy_gradient_loss_B_1 | -4.98e-05     |
|    policy_gradient_loss_U_0 | -0.000492     |
|    policy_gradient_loss_U_1 | -0.000389     |
|    value_loss               | 4.88          |
|    value_loss_B_0           | 10.6          |
|    value_loss_B_1           | 9.95          |
|    value_loss_U_0           | 2.86          |
|    value_loss_U_1           | 1.83          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.5748006     |
|    benefit_1                | 0.7560948     |
|    bias_estimate            | -0.1812942    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 28.6          |
|    ep_rew_mean_B_0          | 572           |
|    ep_rew_mean_B_1          | 454           |
|    ep_rew_mean_U_0          | 291           |
|    ep_rew_mean_U_1          | 235           |
| time/                       |               |
|    fps                      | 241           |
|    iterations               | 7             |
|    time_elapsed             | 116           |
|    total_timesteps          | 28000         |
| train/                      |               |
|    approx_kl                | 3.4732995e-05 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.693        |
|    explained_variance       | 0.00996       |
|    explained_variance_B_0   | -0.054        |
|    explained_variance_B_1   | -0.069        |
|    explained_variance_U_0   | -0.0648       |
|    explained_variance_U_1   | -0.0159       |
|    learning_rate            | 1e-05         |
|    loss                     | 6.57          |
|    n_updates                | 60            |
|    policy_gradient_loss     | -0.000441     |
|    policy_gradient_loss_B_0 | -7.73e-05     |
|    policy_gradient_loss_B_1 | -9.78e-06     |
|    policy_gradient_loss_U_0 | -0.00015      |
|    policy_gradient_loss_U_1 | 9.25e-05      |
|    value_loss               | 4.18          |
|    value_loss_B_0           | 7.17          |
|    value_loss_B_1           | 6.51          |
|    value_loss_U_0           | 1.84          |
|    value_loss_U_1           | 1.51          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.5958018     |
|    benefit_1                | 0.662175      |
|    bias_estimate            | -0.06637323   |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 31.8          |
|    ep_rew_mean_B_0          | 573           |
|    ep_rew_mean_B_1          | 454           |
|    ep_rew_mean_U_0          | 291           |
|    ep_rew_mean_U_1          | 236           |
| time/                       |               |
|    fps                      | 239           |
|    iterations               | 8             |
|    time_elapsed             | 133           |
|    total_timesteps          | 32000         |
| train/                      |               |
|    approx_kl                | 7.5223325e-05 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.693        |
|    explained_variance       | 0.00977       |
|    explained_variance_B_0   | -0.0476       |
|    explained_variance_B_1   | -0.0982       |
|    explained_variance_U_0   | -0.028        |
|    explained_variance_U_1   | -0.00141      |
|    learning_rate            | 1e-05         |
|    loss                     | 6.34          |
|    n_updates                | 70            |
|    policy_gradient_loss     | -0.000573     |
|    policy_gradient_loss_B_0 | -8.91e-05     |
|    policy_gradient_loss_B_1 | -7.82e-05     |
|    policy_gradient_loss_U_0 | -0.000639     |
|    policy_gradient_loss_U_1 | -0.00038      |
|    value_loss               | 4.79          |
|    value_loss_B_0           | 5.34          |
|    value_loss_B_1           | 3.94          |
|    value_loss_U_0           | 1.63          |
|    value_loss_U_1           | 1.31          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.54343677    |
|    benefit_1                | 0.710509      |
|    bias_estimate            | -0.16707224   |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 29.8          |
|    ep_rew_mean_B_0          | 569           |
|    ep_rew_mean_B_1          | 455           |
|    ep_rew_mean_U_0          | 290           |
|    ep_rew_mean_U_1          | 236           |
| time/                       |               |
|    fps                      | 238           |
|    iterations               | 9             |
|    time_elapsed             | 150           |
|    total_timesteps          | 36000         |
| train/                      |               |
|    approx_kl                | 0.00011101207 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.692        |
|    explained_variance       | 0.00819       |
|    explained_variance_B_0   | -0.00295      |
|    explained_variance_B_1   | -0.0283       |
|    explained_variance_U_0   | 0.00745       |
|    explained_variance_U_1   | 0.0206        |
|    learning_rate            | 1e-05         |
|    loss                     | 5.77          |
|    n_updates                | 80            |
|    policy_gradient_loss     | -0.000508     |
|    policy_gradient_loss_B_0 | 7.93e-05      |
|    policy_gradient_loss_B_1 | -0.00018      |
|    policy_gradient_loss_U_0 | -0.000562     |
|    policy_gradient_loss_U_1 | -0.000167     |
|    value_loss               | 5.13          |
|    value_loss_B_0           | 4.48          |
|    value_loss_B_1           | 3.47          |
|    value_loss_U_0           | 1.84          |
|    value_loss_U_1           | 1.27          |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.5008319    |
|    benefit_1                | 0.60755605   |
|    bias_estimate            | -0.10672414  |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 34.1         |
|    ep_rew_mean_B_0          | 567          |
|    ep_rew_mean_B_1          | 458          |
|    ep_rew_mean_U_0          | 292          |
|    ep_rew_mean_U_1          | 238          |
| time/                       |              |
|    fps                      | 237          |
|    iterations               | 10           |
|    time_elapsed             | 168          |
|    total_timesteps          | 40000        |
| train/                      |              |
|    approx_kl                | 8.534908e-05 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.691       |
|    explained_variance       | 0.0155       |
|    explained_variance_B_0   | 0.0203       |
|    explained_variance_B_1   | 0.0153       |
|    explained_variance_U_0   | 0.0157       |
|    explained_variance_U_1   | 0.0182       |
|    learning_rate            | 1e-05        |
|    loss                     | 5.22         |
|    n_updates                | 90           |
|    policy_gradient_loss     | -0.000435    |
|    policy_gradient_loss_B_0 | 3.59e-05     |
|    policy_gradient_loss_B_1 | 3.44e-05     |
|    policy_gradient_loss_U_0 | -0.000393    |
|    policy_gradient_loss_U_1 | -0.000207    |
|    value_loss               | 4.33         |
|    value_loss_B_0           | 3.52         |
|    value_loss_B_1           | 2.83         |
|    value_loss_U_0           | 1.41         |
|    value_loss_U_1           | 1.31         |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.5246055     |
|    benefit_1                | 0.59558153    |
|    bias_estimate            | -0.07097602   |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 34.7          |
|    ep_rew_mean_B_0          | 567           |
|    ep_rew_mean_B_1          | 456           |
|    ep_rew_mean_U_0          | 294           |
|    ep_rew_mean_U_1          | 237           |
| time/                       |               |
|    fps                      | 237           |
|    iterations               | 11            |
|    time_elapsed             | 185           |
|    total_timesteps          | 44000         |
| train/                      |               |
|    approx_kl                | 0.00018739598 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.69         |
|    explained_variance       | 0.0153        |
|    explained_variance_B_0   | 0.0195        |
|    explained_variance_B_1   | 0.0268        |
|    explained_variance_U_0   | 0.0154        |
|    explained_variance_U_1   | 0.0176        |
|    learning_rate            | 1e-05         |
|    loss                     | 3.25          |
|    n_updates                | 100           |
|    policy_gradient_loss     | -0.00075      |
|    policy_gradient_loss_B_0 | 7.63e-05      |
|    policy_gradient_loss_B_1 | 1.43e-05      |
|    policy_gradient_loss_U_0 | -0.0009       |
|    policy_gradient_loss_U_1 | -0.000629     |
|    value_loss               | 4.91          |
|    value_loss_B_0           | 3.24          |
|    value_loss_B_1           | 3.29          |
|    value_loss_U_0           | 1.56          |
|    value_loss_U_1           | 1.42          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.4935893     |
|    benefit_1                | 0.57040524    |
|    bias_estimate            | -0.07681593   |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 36.9          |
|    ep_rew_mean_B_0          | 565           |
|    ep_rew_mean_B_1          | 456           |
|    ep_rew_mean_U_0          | 295           |
|    ep_rew_mean_U_1          | 237           |
| time/                       |               |
|    fps                      | 236           |
|    iterations               | 12            |
|    time_elapsed             | 202           |
|    total_timesteps          | 48000         |
| train/                      |               |
|    approx_kl                | 0.00049484207 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.687        |
|    explained_variance       | 0.0171        |
|    explained_variance_B_0   | 0.0324        |
|    explained_variance_B_1   | 0.0419        |
|    explained_variance_U_0   | 0.0171        |
|    explained_variance_U_1   | 0.0315        |
|    learning_rate            | 1e-05         |
|    loss                     | 15.7          |
|    n_updates                | 110           |
|    policy_gradient_loss     | -0.00153      |
|    policy_gradient_loss_B_0 | -9.16e-05     |
|    policy_gradient_loss_B_1 | 6.05e-05      |
|    policy_gradient_loss_U_0 | -0.00188      |
|    policy_gradient_loss_U_1 | -0.000696     |
|    value_loss               | 4.4           |
|    value_loss_B_0           | 3.64          |
|    value_loss_B_1           | 3.04          |
|    value_loss_U_0           | 1.89          |
|    value_loss_U_1           | 1.3           |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.56598073   |
|    benefit_1                | 0.5798092    |
|    bias_estimate            | -0.013828456 |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 38.3         |
|    ep_rew_mean_B_0          | 565          |
|    ep_rew_mean_B_1          | 455          |
|    ep_rew_mean_U_0          | 297          |
|    ep_rew_mean_U_1          | 238          |
| time/                       |              |
|    fps                      | 235          |
|    iterations               | 13           |
|    time_elapsed             | 220          |
|    total_timesteps          | 52000        |
| train/                      |              |
|    approx_kl                | 0.0002695957 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.684       |
|    explained_variance       | 0.012        |
|    explained_variance_B_0   | 0.026        |
|    explained_variance_B_1   | 0.0294       |
|    explained_variance_U_0   | 0.022        |
|    explained_variance_U_1   | 0.0125       |
|    learning_rate            | 1e-05        |
|    loss                     | 11.5         |
|    n_updates                | 120          |
|    policy_gradient_loss     | -0.000891    |
|    policy_gradient_loss_B_0 | 0.000175     |
|    policy_gradient_loss_B_1 | -9.41e-05    |
|    policy_gradient_loss_U_0 | -0.00115     |
|    policy_gradient_loss_U_1 | -0.00046     |
|    value_loss               | 4.91         |
|    value_loss_B_0           | 3.52         |
|    value_loss_B_1           | 3.04         |
|    value_loss_U_0           | 1.62         |
|    value_loss_U_1           | 1.43         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.5308099    |
|    benefit_1                | 0.5249864    |
|    bias_estimate            | 0.005823493  |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 41.3         |
|    ep_rew_mean_B_0          | 568          |
|    ep_rew_mean_B_1          | 454          |
|    ep_rew_mean_U_0          | 301          |
|    ep_rew_mean_U_1          | 237          |
| time/                       |              |
|    fps                      | 235          |
|    iterations               | 14           |
|    time_elapsed             | 237          |
|    total_timesteps          | 56000        |
| train/                      |              |
|    approx_kl                | 0.0004712928 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.68        |
|    explained_variance       | 0.017        |
|    explained_variance_B_0   | 0.0299       |
|    explained_variance_B_1   | 0.0214       |
|    explained_variance_U_0   | 0.0255       |
|    explained_variance_U_1   | 0.0187       |
|    learning_rate            | 1e-05        |
|    loss                     | 5.51         |
|    n_updates                | 130          |
|    policy_gradient_loss     | -0.00144     |
|    policy_gradient_loss_B_0 | 1.14e-05     |
|    policy_gradient_loss_B_1 | 7.01e-05     |
|    policy_gradient_loss_U_0 | -0.00115     |
|    policy_gradient_loss_U_1 | -0.000321    |
|    value_loss               | 4.93         |
|    value_loss_B_0           | 4.36         |
|    value_loss_B_1           | 2.83         |
|    value_loss_U_0           | 1.9          |
|    value_loss_U_1           | 1.31         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.5109471    |
|    benefit_1                | 0.4952573    |
|    bias_estimate            | 0.01568982   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 46.8         |
|    ep_rew_mean_B_0          | 568          |
|    ep_rew_mean_B_1          | 455          |
|    ep_rew_mean_U_0          | 304          |
|    ep_rew_mean_U_1          | 239          |
| time/                       |              |
|    fps                      | 235          |
|    iterations               | 15           |
|    time_elapsed             | 255          |
|    total_timesteps          | 60000        |
| train/                      |              |
|    approx_kl                | 0.0007390354 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.673       |
|    explained_variance       | 0.0123       |
|    explained_variance_B_0   | 0.0184       |
|    explained_variance_B_1   | 0.0333       |
|    explained_variance_U_0   | 0.0127       |
|    explained_variance_U_1   | 0.0259       |
|    learning_rate            | 1e-05        |
|    loss                     | 10.6         |
|    n_updates                | 140          |
|    policy_gradient_loss     | -0.00179     |
|    policy_gradient_loss_B_0 | 0.00016      |
|    policy_gradient_loss_B_1 | 0.000369     |
|    policy_gradient_loss_U_0 | -0.00225     |
|    policy_gradient_loss_U_1 | -0.000425    |
|    value_loss               | 4.29         |
|    value_loss_B_0           | 3.99         |
|    value_loss_B_1           | 3.19         |
|    value_loss_U_0           | 1.97         |
|    value_loss_U_1           | 1.36         |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.56842935    |
|    benefit_1                | 0.59550124    |
|    bias_estimate            | -0.027071893  |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 50.8          |
|    ep_rew_mean_B_0          | 566           |
|    ep_rew_mean_B_1          | 455           |
|    ep_rew_mean_U_0          | 307           |
|    ep_rew_mean_U_1          | 240           |
| time/                       |               |
|    fps                      | 234           |
|    iterations               | 16            |
|    time_elapsed             | 272           |
|    total_timesteps          | 64000         |
| train/                      |               |
|    approx_kl                | 0.00084092695 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.665        |
|    explained_variance       | 0.00791       |
|    explained_variance_B_0   | 0.0224        |
|    explained_variance_B_1   | 0.0318        |
|    explained_variance_U_0   | 0.0176        |
|    explained_variance_U_1   | 0.0211        |
|    learning_rate            | 1e-05         |
|    loss                     | 6.62          |
|    n_updates                | 150           |
|    policy_gradient_loss     | -0.00144      |
|    policy_gradient_loss_B_0 | 1.86e-05      |
|    policy_gradient_loss_B_1 | -0.000413     |
|    policy_gradient_loss_U_0 | -0.00255      |
|    policy_gradient_loss_U_1 | -0.0019       |
|    value_loss               | 4.53          |
|    value_loss_B_0           | 4.19          |
|    value_loss_B_1           | 2.86          |
|    value_loss_U_0           | 2.02          |
|    value_loss_U_1           | 1.45          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.5990479     |
|    benefit_1                | 0.56575805    |
|    bias_estimate            | 0.03328985    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 55.9          |
|    ep_rew_mean_B_0          | 566           |
|    ep_rew_mean_B_1          | 456           |
|    ep_rew_mean_U_0          | 311           |
|    ep_rew_mean_U_1          | 242           |
| time/                       |               |
|    fps                      | 234           |
|    iterations               | 17            |
|    time_elapsed             | 290           |
|    total_timesteps          | 68000         |
| train/                      |               |
|    approx_kl                | 0.00077679945 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.655        |
|    explained_variance       | 0.0115        |
|    explained_variance_B_0   | 0.0289        |
|    explained_variance_B_1   | 0.0358        |
|    explained_variance_U_0   | 0.0199        |
|    explained_variance_U_1   | 0.0303        |
|    learning_rate            | 1e-05         |
|    loss                     | 9.9           |
|    n_updates                | 160           |
|    policy_gradient_loss     | -0.00169      |
|    policy_gradient_loss_B_0 | -0.000698     |
|    policy_gradient_loss_B_1 | -9.73e-05     |
|    policy_gradient_loss_U_0 | -0.00167      |
|    policy_gradient_loss_U_1 | 0.000392      |
|    value_loss               | 6.07          |
|    value_loss_B_0           | 4.35          |
|    value_loss_B_1           | 2.99          |
|    value_loss_U_0           | 2.34          |
|    value_loss_U_1           | 1.41          |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.5893178    |
|    benefit_1                | 0.5432812    |
|    bias_estimate            | 0.0460366    |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 65.3         |
|    ep_rew_mean_B_0          | 568          |
|    ep_rew_mean_B_1          | 457          |
|    ep_rew_mean_U_0          | 317          |
|    ep_rew_mean_U_1          | 244          |
| time/                       |              |
|    fps                      | 233          |
|    iterations               | 18           |
|    time_elapsed             | 307          |
|    total_timesteps          | 72000        |
| train/                      |              |
|    approx_kl                | 0.0010918645 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.644       |
|    explained_variance       | 0.0121       |
|    explained_variance_B_0   | 0.0382       |
|    explained_variance_B_1   | 0.026        |
|    explained_variance_U_0   | 0.0327       |
|    explained_variance_U_1   | 0.0281       |
|    learning_rate            | 1e-05        |
|    loss                     | 5.56         |
|    n_updates                | 170          |
|    policy_gradient_loss     | -0.00233     |
|    policy_gradient_loss_B_0 | -0.000765    |
|    policy_gradient_loss_B_1 | -0.0003      |
|    policy_gradient_loss_U_0 | -0.00241     |
|    policy_gradient_loss_U_1 | -0.0014      |
|    value_loss               | 5.36         |
|    value_loss_B_0           | 4.66         |
|    value_loss_B_1           | 3.66         |
|    value_loss_U_0           | 2.53         |
|    value_loss_U_1           | 1.65         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.60747755   |
|    benefit_1                | 0.5539595    |
|    bias_estimate            | 0.053518057  |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 70.6         |
|    ep_rew_mean_B_0          | 567          |
|    ep_rew_mean_B_1          | 456          |
|    ep_rew_mean_U_0          | 322          |
|    ep_rew_mean_U_1          | 245          |
| time/                       |              |
|    fps                      | 233          |
|    iterations               | 19           |
|    time_elapsed             | 325          |
|    total_timesteps          | 76000        |
| train/                      |              |
|    approx_kl                | 0.0023328993 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.625       |
|    explained_variance       | 0.00315      |
|    explained_variance_B_0   | 0.0283       |
|    explained_variance_B_1   | 0.0242       |
|    explained_variance_U_0   | 0.02         |
|    explained_variance_U_1   | 0.0101       |
|    learning_rate            | 1e-05        |
|    loss                     | 5.47         |
|    n_updates                | 180          |
|    policy_gradient_loss     | -0.00285     |
|    policy_gradient_loss_B_0 | -0.000617    |
|    policy_gradient_loss_B_1 | 0.000303     |
|    policy_gradient_loss_U_0 | -0.00404     |
|    policy_gradient_loss_U_1 | -0.00228     |
|    value_loss               | 5.26         |
|    value_loss_B_0           | 4.9          |
|    value_loss_B_1           | 3.04         |
|    value_loss_U_0           | 2.75         |
|    value_loss_U_1           | 1.63         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.6500654    |
|    benefit_1                | 0.54660165   |
|    bias_estimate            | 0.10346377   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 75.3         |
|    ep_rew_mean_B_0          | 567          |
|    ep_rew_mean_B_1          | 456          |
|    ep_rew_mean_U_0          | 327          |
|    ep_rew_mean_U_1          | 247          |
| time/                       |              |
|    fps                      | 233          |
|    iterations               | 20           |
|    time_elapsed             | 342          |
|    total_timesteps          | 80000        |
| train/                      |              |
|    approx_kl                | 0.0018333454 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.602       |
|    explained_variance       | 0.00467      |
|    explained_variance_B_0   | 0.0332       |
|    explained_variance_B_1   | 0.018        |
|    explained_variance_U_0   | 0.0237       |
|    explained_variance_U_1   | 0.0135       |
|    learning_rate            | 1e-05        |
|    loss                     | 6.41         |
|    n_updates                | 190          |
|    policy_gradient_loss     | -0.00209     |
|    policy_gradient_loss_B_0 | 1.79e-06     |
|    policy_gradient_loss_B_1 | -0.000627    |
|    policy_gradient_loss_U_0 | -0.00281     |
|    policy_gradient_loss_U_1 | -0.00282     |
|    value_loss               | 5.38         |
|    value_loss_B_0           | 4.55         |
|    value_loss_B_1           | 3.62         |
|    value_loss_U_0           | 2.62         |
|    value_loss_U_1           | 1.7          |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.68818146   |
|    benefit_1                | 0.5531351    |
|    bias_estimate            | 0.13504636   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 79.5         |
|    ep_rew_mean_B_0          | 565          |
|    ep_rew_mean_B_1          | 454          |
|    ep_rew_mean_U_0          | 331          |
|    ep_rew_mean_U_1          | 248          |
| time/                       |              |
|    fps                      | 233          |
|    iterations               | 21           |
|    time_elapsed             | 360          |
|    total_timesteps          | 84000        |
| train/                      |              |
|    approx_kl                | 0.0013799053 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
